Satisfaction Level,Freq,Relative Frequency (Percent),Cumulative Frequency(Percent)
0,248,2.39497827136649,2.39497827136649
1,269,2.59777885079672,4.99275712216321
2,417,4.02704007725736,9.01979719942057
3,776,7.49396426846934,16.5137614678899
4,991,9.5702559150169,26.0840173829068
5,2947,28.4596813133752,54.543698696282
6,1587,15.3259295026557,69.8696281989377
7,1272,12.2839208112023,82.15354901014
8,1105,10.6711733462096,92.8247223563496
9,334,3.22549492998551,96.0502172863351
10,409,3.9497827136649,100
<NA>,0,NA,NA
Total,10355,100,100
